Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Africa Eastern and Southern,AFE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,787.535042517264,780.536437193505,789.931550787541,786.928878156648,785.792262411441,785.431054459576,776.903612727222,782.802687831696,780.892355622339,789.384320528797,810.466853468177,827.187028829655,820.87547184354,840.091970069586,827.625965407104,834.186775983166,837.874406182033,844.156930064757,810.51536851336,788.222328225691,789.666092058558,743.429609810853,749.911446311815,750.674925636467,760.208128326362,757.074853029718,755.589047289474,744.862070348663,746.661188469683,733.421541788003,738.822492531853,726.210303048516,739.607835097683,756.945359622382,748.030663760704,742.246409543133,755.764359885741,780.17236984834,766.243658016489,755.371018311124,749.402187738062,728.721221633136,725.668196097785,740.766342797557,..,..,..,..,..,..,..
Africa Western and Central,AFW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,511.982018531683,516.54767013156,528.125543571141,531.463783107589,534.688610254784,541.996420093176,553.708822413447,561.489176343345,563.24683224113,569.830665834955,576.782826786847,585.018831360792,577.235973655475,565.808918217587,569.089757226948,563.048636970557,566.496339825969,564.017771660861,567.349261075024,564.362021702064,579.37621375237,586.332021916853,582.192215847617,559.106146332036,560.391831698116,571.896877056138,575.33420670645,568.053689531837,578.160301131558,548.181051904747,555.91173464434,560.27433813377,570.382439214674,578.107912796889,585.191024218262,578.678601469874,583.570930281778,585.933019164169,571.800006978943,596.785227772781,610.016077182942,624.240457631954,622.117525274381,611.437410013059,..,..,..,..,..,..,..
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,423.402736935038,427.522234186618,457.703742691857,474.165392403004,498.178997344357,538.828066290477,575.421249487728,641.1065496228,742.856638119915,807.397000842636,899.868488249892,971.185347749322,1014.48699187137,1006.56748496879,1031.76418036758,1047.87768033052,1101.74960194407,1163.08434300167,1189.39189865243,1091.28322359471,1103.7737659336,1157.97576725652,1191.0233684382,1223.09253062057,1276.28742477002,1297.9928770174,1317.90671062168,1308.27479767126,1294.0097217636,1295.72292218289,1362.82475649758,1399.53060492643,1391.08707357351,1439.87466891648,1495.06249911,1562.50370079861,1593.61258179011,1678.09560602555,1724.44902429584,1784.99980960134,1750.71779119167,1850.56492707102,1807.27985346652,1962.9550276975,..,..,..,..,..,..,..
Caribbean small states,CSS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1873.09141693402,..,..,..,..,..,..,..,..,..,3251.50558834784,3501.88823775856,3592.65486612368,3925.83341888086,3065.59683200724,3371.03696658454,3690.7750037492,3836.67164515905,4918.35094853298,4826.41529197028,5025.50488095508,4959.11279889315,4821.44728140098,4867.92039772146,4814.84576951593,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,2611.2149151246,2666.45876684044,2769.25417301117,2785.94966619656,2925.6647144417,3055.99119837851,3195.30598842452,3347.35221985556,3407.48630027493,3404.42305286129,3265.24599555413,3338.93989143273,3321.96628585096,3291.90883112907,3367.00752280309,3434.53758503658,3516.41453538279,3497.11507575306,3371.98483191947,3089.52494099679,2832.54230782158,2624.11439957918,2609.57896374113,2502.91713643051,2609.64390544309,2697.21847681768,2642.39189238823,2519.73159789869,2394.87290001717,2376.47106686069,2456.95267754914,2484.39320880618,2570.98370578595,2579.47448153663,2617.57646936408,2690.90888583771,2696.75490925362,2706.4490452995,2527.35147431345,2634.98393198861,2637.75999544147,2566.10715329701,2511.70955906068,2470.54431835595,..,..,..,..,..,..,..
Early-demographic dividend,EAR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,398.278424895347,400.743646911869,417.82230533075,428.110211773454,436.193584945094,448.170082655378,461.07288048352,470.95309478815,487.763552257183,504.571513044274,525.246011359462,542.063942878091,536.343386443379,541.601371784492,546.216803534488,551.132743760133,565.457515019504,573.762590184598,580.766248043315,617.621669334206,630.793315401633,634.992110533192,642.819038886417,655.205172025366,665.205249558109,671.994985178488,683.661170173866,689.510648359437,702.975177485154,705.907007663783,707.759381519199,716.550264273653,724.318379302012,747.565290535139,765.258028301384,789.013199189101,804.407032335126,826.474354566248,843.556602131778,861.804777667714,862.704560786551,888.005511817583,883.485816086073,899.210271677267,..,..,..,..,..,..,..
East Asia & Pacific,EAS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,658.10367707981,678.497846836552,710.669303367568,710.869030161367,724.587563875918,746.871761040083,783.357501301661,815.424496120193,833.46724686712,822.414122943294,804.756049400421,810.966897397098,820.169044445041,855.525485753478,861.638866552112,879.409399798754,900.090267827857,937.429780001823,955.259489396916,1014.14562472501,1003.87067062977,1026.60697945394,1064.84253090566,1099.15309383066,1144.73689724186,1171.44189879252,1179.85978544593,1159.22576883538,1181.28558173045,1215.20346860687,1230.80868872623,1275.02894505456,1363.15030239269,1476.36415023247,1550.73207786641,1628.71894542103,1703.90935984181,1727.52024885062,1779.96797317001,1922.64256733076,1979.89725017813,2017.66918431423,2057.08049723483,2127.71646775515,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,443.183737407072,452.551195636648,459.521437643061,461.183037784209,494.068393677027,502.579379478227,536.191676245189,569.596489480186,574.784232309585,568.951087108371,560.679437849454,567.993626160142,579.599554225653,600.295590711859,608.731883634229,622.487907902091,639.96819333444,661.62338705027,668.364719526763,710.724125892246,694.159229727046,707.316389664743,738.53566089866,758.800008782089,801.443108624204,817.429955254685,815.795576198322,806.613094827254,818.07247084544,842.775492979518,865.02611688912,911.364775322227,1008.96000680978,1122.65217145462,1213.65189175509,1298.03358134456,1378.85320981119,1414.1067184476,1489.74356276761,1621.1152900855,1701.23326164813,1752.51762271697,1797.39857962946,1869.56691874524,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,431.68221242844,440.965698165779,448.074354124096,449.371075542714,482.434850698046,490.269122933771,523.615709791753,556.319626916904,560.449777459368,553.546633958646,544.907585671383,551.675750302696,562.955821124577,583.715895102496,591.697316999708,606.433305737919,625.409709461532,647.30004594395,654.572566100872,698.720416430542,683.204334603158,699.302083623745,732.537928509334,754.602161015435,798.791422017896,816.693611248408,815.68311917749,807.183112976011,818.178766271837,842.554736953788,864.826329493125,912.30598541197,1010.99884230313,1125.98470554581,1217.78082930366,1303.19829024679,1386.82720507742,1421.59361991061,1498.36381203669,1631.97036830253,1715.66127947272,1767.45356894483,1814.61932560509,1887.99017614283,..,..,..,..,..,..,..
Euro area,EMU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1403.94274121287,1455.39177392137,1567.8629908267,1686.60024227629,1762.65022762666,1816.95054878006,1865.29082027402,1941.65597296721,2093.37633678334,2262.9204590109,2746.5407633676,2782.97707905229,2921.22774530811,3108.96134937222,3065.66894845323,2931.90460591217,3141.29345495417,3105.60051036892,3224.80520148085,3354.41007865536,3291.94202600779,3182.21379530547,3072.77231777185,3096.02651013614,3200.71047534598,3297.84848758491,3329.02953503404,3399.23943771827,3426.19702227112,3488.78529146871,3511.71465157164,3555.68887795985,3467.81441359042,3431.25246519571,3415.02308992422,3524.56332244462,3631.81181556918,3618.40644231369,3673.18123962295,3661.08817569096,3697.17796497646,3781.24248929323,3764.86861769237,3823.49667494264,3857.95836776923,3847.57909271819,3839.73340790058,3757.19929153817,3730.76650350995,3511.67364950733,3627.00554448247,3486.35714419789,3445.62278065162,3405.03874581443,3266.22778835644,3329.02561338569,..,..,..,..,..,..
Europe & Central Asia,ECS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3763.46456757775,3728.98738720049,3509.00180843258,3384.40544299132,3197.39775611649,3215.21827555799,3253.60651123657,3188.69349644916,3180.26947505495,3175.30381841599,3198.5715978386,3245.92981390942,3248.8256723399,3333.08691372834,3361.88406095271,3361.33436067781,3404.60769366884,3376.59807433069,3381.99824561566,3159.15121089798,3309.17858767216,3279.43399086472,3273.90469215026,3221.06455806696,3161.75579994898,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4160.07453522032,4067.10604966364,3670.59339901481,3403.84244850783,2996.84260460504,2918.936624528,2860.11559310379,2752.73295503075,2708.0890041521,2735.34942512361,2771.09693901917,2778.6202145919,2810.87396482913,2922.06617192611,2959.39753088096,2965.05061338104,3062.33477484657,3098.38678251191,3133.94572940689,2892.40674462825,3081.65555509798,3209.26678919045,3234.75343635307,3160.07617892269,3216.76766709645,..,..,..,..,..,..,..
